well_position	gene_name	pert_name	broad_sample	cell_line	ASSAY_WELL_ROLE	GeneID
a01	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
a02	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
a03	ATF4	ATF4_WT.1	ccsbBroad304_00117	U2OS	Treated	468
a04	TSC2	TSC2_WT	ccsbBroad304_07101	U2OS	Treated	7249
a05	BAX	BAX_WT	ccsbBroad304_00150	U2OS	Treated	581
a06	VEGFC	VEGFC_WT.1	ccsbBroad304_07127	U2OS	Treated	7424
a07	CCND1	CCND1_WT.1	ccsbBroad304_00155	U2OS	Treated	595
a08	VHL	VHL_WT.1	ccsbBroad304_07128	U2OS	Treated	7428
a09	BMPR1B	BMPR1B_WT.1	ccsbBroad304_00168	U2OS	Treated	658
a10	AXIN2	AXIN2_WT.1	ccsbBroad304_07217	U2OS	Treated	8313
a11	BRCA1	BRCA1_WT	ccsbBroad304_00173	U2OS	Treated	672
a12	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA
a13	CASP9	CASP9_WT	ccsbBroad304_00223	U2OS	Treated	842
a14	AKT3	AKT3_WT.1	ccsbBroad304_07529	U2OS	Treated	10000
a15	LacZ	LacZ_CTRL	NA	U2OS	CTRL	NA
a16	TBK1	TBK1_WT.1	ccsbBroad304_08116	U2OS	Treated	29110
a17	CDK2	CDK2_WT.1	ccsbBroad304_00276	U2OS	Treated	1017
a18	IRAK4	IRAK4_WT	ccsbBroad304_08230	U2OS	Treated	51135
a19	CDK4	CDK4_WT.1	ccsbBroad304_00277	U2OS	Treated	1019
a20	ATM	ATM_WT.1	ccsbBroad304_10688	U2OS	Treated	472
a21	CDKN1A	CDKN1A_WT	ccsbBroad304_00282	U2OS	Treated	1026
a22	ATM	ATM_WT.2	ccsbBroad304_10689	U2OS	Treated	472
a23	MAP3K8	MAP3K8_WT	ccsbBroad304_00348	U2OS	Treated	1326
a24	CASP8	CASP8_WT.1	ccsbBroad304_10710	U2OS	Treated	841
b01	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
b02	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
b03	EIF2A	EIF2A_WT.1	BRDN0000464896	U2OS	Treated	83939
b04	CTNNB1	CTNNB1_S33A.S37A.T41A.T45A	BRDN0000464976	U2OS	Treated	1499
b05	GSK3B	GSK3B_WT.1	BRDN0000464897	U2OS	Treated	2932
b06	PRKCA	PRKCA_K368R	BRDN0000464977	U2OS	Treated	5578
b07	MAP3K2	MAP3K2_WT.1	BRDN0000464898	U2OS	Treated	10746
b08	CARD11	CARD11_F123I.mismatch	BRDN0000464978	U2OS	Treated	84433
b09	ARAF	ARAF_WT.1	BRDN0000464899	U2OS	Treated	369
b10	CARD11	CARD11_L225LI	BRDN0000464979	U2OS	Treated	84433
b11	XBP1	XBP1_WT.1	BRDN0000464900	U2OS	Treated	7494
b12	CDC42	CDC42_Q61L	BRDN0000464980	U2OS	Treated	998
b13	HSPA5	HSPA5_WT	BRDN0000464901	U2OS	Treated	3309
b14	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
b15	VHL	VHL_WT.2	BRDN0000464902	U2OS	Treated	7428
b16	RAF1	RAF1_L613V	BRDN0000464981	U2OS	Treated	5894
b17	GSK3B	GSK3B_WT.2	BRDN0000464903	U2OS	Treated	2932
b18	RAC1	RAC1_Q61L	BRDN0000464982	U2OS	Treated	5879
b19	EIF4E	EIF4E_WT.1	BRDN0000464904	U2OS	Treated	1977
b20	RAC1	RAC1_T17N	BRDN0000464983	U2OS	Treated	5879
b21	RB1	RB1_WT.1.mismatch	BRDN0000464905	U2OS	Treated	5925
b22	PRKCE	PRKCE_K437R.mismatch	BRDN0000464984	U2OS	Treated	5581
b23	LacZ	LacZ_CTRL	NA	U2OS	CTRL	NA
